"game_id","name","max_players","playtime","min_age","min_players","age_of_game","users_rated","rating","CardGame","Wargame","Fantasy","Fighting","Economic","Science.Fiction","Dice","Party.Game","AbstractStrategy","Childrens.Game","WorldWarII","Bluffing","Humor","Animals","Adventure","Medieval","Action.Dexterity","Deduction","Movies.TV.Radiotheme","Miniatures"
162,"The Awful Green Things From Outer Space",2,90,12,2,43,2263,6.49136,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
163,"Balderdash",6,60,12,2,38,3947,6.39247,"No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
164,"Before I Kill You, Mister Spy...",6,30,12,3,26,1116,5.40672,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
165,"Black Box",2,20,10,1,45,737,6.35521,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No"
166,"Black Death",6,120,0,2,29,119,5.70588,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
167,"Dicke Kartoffeln",6,120,12,2,33,142,6.22465,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
168,"Empire Builder",6,180,12,2,40,2482,6.91675,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
169,"En Garde",2,30,8,2,29,1386,6.50667,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
170,"Family Business",6,30,8,2,40,3409,6.1159,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
172,"For Sale",6,20,8,3,25,15544,7.22213,"Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
173,"Formula Dé",10,120,10,2,31,7085,6.99229,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
174,"T-Rex",5,45,10,3,23,248,5.52782,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
175,"Raj",5,20,8,2,34,1470,6.46531,"Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No"
176,"Give Me the Brain!",8,30,10,3,26,1919,5.85431,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
178,"Mole Hill",2,15,8,2,25,191,5.94555,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
180,"Pool Position",5,30,10,2,23,120,5.78083,"Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
181,"Risk",6,120,10,2,63,21836,5.57906,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
182,"Knights of Charlemagne",4,30,8,2,27,604,6.36252,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
183,"Stonehenge",2,15,10,2,28,112,6.23304,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
